AMBTEMP,COUGM3,NO2UGM3,O3UGM3,PM25,RAINFALL,SO2UGM3,UV_INDEX,test_clasiffier
13.2,0.1,2.3,32.5,4.64,0,-1.3,0,2
13.1,0,-0.4,34.8,3.91,0,-1.4,0,3
12.9,0,-0.2,35.2,3.81,0,-1.4,0,1
13,0.1,6.6,20,4.7,0,-1.4,0,2
13.1,0.1,10.8,14.7,4.77,0,-0.9,0,3
13.2,0.3,16.8,8.1,5.73,0,-0.6,0.010387961,1
13.4,0.5,18,8.2,8.13,0,0,0.385888457,2
14.8,0.7,20.6,14.2,9.88,0,3.8,2.178710231,3
16.5,0.3,16,26.8,7.66,0,1.6,3.996570916,1
17.8,0.3,13.4,34.9,5.31,0,-0.5,5.900973526,2
18.9,0.2,9.3,43.4,4.88,0,-1,4.070592432,3
18.3,0.2,10.3,42.7,5.76,0,-0.8,3.012676814,1
20,0.2,15.9,43.7,4.94,0.2,-0.9,4.226489281,2
19.8,0.2,11.3,39.7,4.19,0,-0.8,3.843064012,3
20.2,0.2,9.3,37.3,3.59,0,-1,2.595230411,1
19.8,0.2,10.1,34.9,3.79,0,-1,1.201964599,2
18.1,0.4,16.6,23.6,4.66,0.6,-0.5,0.15945449,3
17.3,0.5,20.7,20.1,5.71,0,-0.3,0,1
16.7,0.6,24.2,11.9,6.34,0,0.2,0,2
15.8,0.4,20.3,15.4,4.78,0,-1.2,0,3
15.1,0.5,24.6,9.3,4.37,0,-0.1,0,1
14.8,0.6,25.6,6.8,5.07,0,0,0,2
14.1,0.5,21.5,6.9,4.84,0,-0.2,0,3
13.6,0.4,18.8,8,4.31,0,-0.7,0,1
13.4,0.3,17,9.7,4.09,0,-0.9,0,2
13.8,0.1,8.2,21.9,3.88,0,-1.2,0,3
13.4,0.2,12.3,14.4,3.59,0,-1.1,0,1
13.1,0.1,15.3,10.1,3.47,0,-0.9,0,2
13.1,0.2,17.5,7.3,4.23,0,-1,0,3
13.2,0.3,19,8.7,3.89,0,-0.8,0.01196994,1
13.7,0.3,20.2,10.8,4.71,0,0.4,0.301893645,2
14.6,0.4,20.4,17.1,4.47,0,0.1,1.188460365,3
15.3,0.2,11.3,33.5,3.86,0,-0.4,2.619964523,1
16.2,0.2,9.6,39.4,4.02,0,-0.9,3.993122377,2
16.8,0.2,11.9,39.6,4.75,0,-0.7,2.592876326,3
16.5,0.3,16.9,34.2,4.5,0,-0.8,2.692320516,1
15.8,0.2,9.3,38.9,4.17,0,-1,3.50343061,2
16.7,0.2,7.3,35.7,3.18,0,-1.1,1.782153048,3
16.4,0.3,15.6,27.1,3.43,0,-0.8,1.211182574,1
16.4,0.5,28.8,17.5,5.76,0,-0.3,0.474767681,2
16.2,0.4,20.9,21.8,4.4,0,-0.5,0.114389258,3
15.1,0.5,26.3,16.5,4.71,0,0.1,0.001916533,1
14,1.2,34.4,6.9,10.4,0,2.2,0,2
14.1,0.4,25.4,16.1,5.79,0,-0.7,0,3
13.5,0.5,30.5,9.6,5.61,0,-0.7,0,1
13.5,0.5,27.9,11.6,9.33,0,-1.1,0,2
12.9,0.6,30.7,5.5,13.4,0,0,0,3
13.1,0.5,28.1,7,7.02,0,-0.4,0,1
13.1,0.4,26.1,5.4,6.45,0,0.1,0,2
12.9,0.4,24.9,6.8,6.64,0.2,3,0,3
12.2,0.1,12,20.7,5.73,0,0.2,0,1
12.2,0.1,9.2,18.2,3.53,0,-0.9,0,2
12.2,0.2,14.3,12.9,4.27,0,-0.1,0,3
12.3,0.4,20.5,5.9,4.58,0,0.5,0.016771572,1
12.9,0.5,25.7,9.1,6.2,0,2.7,0.349497597,2
13.3,0.2,16.4,21,5.17,0,3,0.766408026,3
12.7,0.3,19.8,20.6,6.23,0,1.8,1.287953384,1
14,0.3,20.6,25.3,5.24,0,1.8,2.7335832,2
16,0.2,8.8,41.7,3.64,0.2,-0.5,3.993009842,3
16.5,0.1,7.6,41,2.24,0,-1,4.063884947,1
18.4,0.1,4.4,46.1,2.28,0,-1.3,5.486026932,2
17.8,0.1,7.3,39.9,2.53,0,-1.1,2.674497978,3
17,0.1,6.6,39.5,1.95,0,-1,2.457594797,1
17,0.1,8.2,38.2,2.16,0,-1.2,0.982687495,2
16.5,0.2,12,35.3,2.78,0,-1.3,0.269147784,3
15.8,0.2,18.4,31.1,3.37,0,-1,0.000789273,1
15.3,0.3,24.7,25.6,3.98,0,-1.1,0,2
14.8,0.3,26.4,23.4,3.8,0,-1,0,3
14.6,0.2,22.4,26.5,4.16,0,2.1,0,1
13.5,0.4,29.8,13.4,4.2,0,-0.2,0,2
12.1,0.4,31.1,9.3,5.08,0,6.2,0,3
11.5,0.2,22.1,16.9,4.5,0,3.1,0,1
10.6,0.1,16.6,17.5,3.81,0,1.4,0,2
9.6,0.1,16.6,11.9,4.37,0,1.4,0,3
9.1,0.1,17,9.3,4.56,0,0.6,0,1
9.9,0.1,17.7,7.7,4.75,0,1.8,0,2
9.5,0.2,19.7,5,5.31,0,1.8,0,3
9.1,0.4,19.7,5.1,5.52,0,1.4,0.028678187,1
12.8,0.5,23.5,10.9,6.67,0,11.1,0.502713054,2
13.5,1,36.9,9.7,8,0,10.8,1.362528038,3
15.3,0.7,36.8,23.3,6.57,0,12.5,3.75043946,1
17,0.1,11.1,47.5,3.45,0,-0.1,8.472049668,2
17.8,0.1,8.5,51.4,2.82,0,-0.6,10.17754482,3
18.4,0.1,9.3,49.8,3.11,0,-1.2,9.990515755,1
18.7,0.1,8.2,50.8,3.56,0,-1.1,5.714703212,2
18.6,0.1,8.4,52.1,2.95,0,-1.2,3.896720836,3
19.5,0.1,10.1,52,2.98,0,-1.1,4.100490578,1
18.1,0.1,11.5,47.1,3.61,0,-1,0.720587854,2
16.1,0.2,21.7,31.5,4.22,0,-1.1,0.049161135,3
15,0.3,19.5,31.8,5.09,0,-0.9,0,1
13.8,0.5,29.2,16.9,9.56,0,0.1,0,2
12.4,0.7,35.5,6.1,10.71,0,1.3,0,3
11.5,0.8,33.8,5.7,14.48,0,3.8,0,1
10.5,0.5,28.9,5.5,11.43,0,1.3,0,2
9.7,0.4,26.4,4.9,11.03,0,1.8,0,3
9.1,0.3,22.1,5.5,11.61,0,2.5,0,1
8.5,0.2,19.2,6,11.04,0,2,0,2
7.8,0.2,20,4.8,10.93,0,3.7,0,3
7.3,0.1,15.6,5.5,7.34,0,0,0,1
6.7,0.2,15.1,4.9,8.37,0,-0.4,0,2
6.6,0.3,14.2,4.6,10.12,0,0.1,0,3
6.6,0.8,18,5.3,11.95,0,2.7,0.024133288,1
9.1,1,22,7.9,13.38,0,9.2,0.537154574,2
11.2,0.8,30.8,14.1,12.63,0,28,2.105085832,3
14.2,0.5,29.6,23.8,9.58,0,4.6,4.318215839,1
16.5,0.2,18.9,41.9,5.02,0,0.4,5.198801404,2
18.2,0.1,9.6,50.6,4.16,0,-0.6,7.354012741,3
19.3,0.1,9.5,47.8,4.87,0,-0.8,9.562915236,1
20.2,0.1,7.4,46.8,4.75,0,-0.8,9.015432593,2
19.7,0.1,11.1,41.5,4.9,0,-0.2,3.959407568,3
19.6,0.1,11.4,38.3,4.68,0,-0.8,2.660365835,1
19.9,0.2,11.8,35.5,4.07,0,-0.3,1.563424506,2
19.9,0.2,12.8,32.8,8.92,0,-0.4,0.294998093,3
18,0.3,18,21.7,9.36,0,-0.5,0.002909133,1
17,0.3,18.6,18,4.77,0,-0.3,0,2
15.5,0.3,17.1,18.9,3.94,0,-0.5,0,3
14.5,0.2,18.3,15.5,4.03,0,-0.3,0,1
14,0.2,17.7,13.2,3.29,0,-0.7,0,2
13.6,0.3,21.1,5.8,3.93,0,2.4,0,3
13,0.3,19.1,7.6,4.44,0,2.8,0,1
12.6,0.1,14.3,8.5,4.15,0,0.4,0,2
12.9,0.1,11.8,10.9,4.25,0,-0.3,0,3
12.5,0,5.6,17.4,3.49,0,-0.8,0,1
12.6,0,8.3,10.7,3.37,0,-0.9,0,2
12.3,0.2,14.3,6.3,3.16,0,-0.1,0,3
12.3,0.6,17.7,4.8,5.56,0,1.5,0.019370184,1
13.6,0.7,18.6,7.3,5.44,0,1.6,0.458685435,2
14.7,0.6,20.6,11.8,4.84,0,7.3,1.636572061,3
16.5,0.4,21.2,21.4,4.23,0,3.5,3.257224765,1
17.3,0.1,9.8,36.5,2.72,0,-0.7,6.786849393,2
18,0.1,9.9,39.3,2.9,0,-0.7,7.493212406,3
19,0.1,8.6,44.5,2.43,0,-0.8,8.853725872,1
19.6,0.1,8.2,47.9,2.46,0,-1,7.862225528,2
20,0.1,5.6,48.4,3.1,0,-0.7,3.668546197,3
20.7,0.1,7.6,47.8,2.89,0,-1,3.643695354,1
20.7,0.2,13.1,45.5,2.55,0,-0.9,1.833485542,2
19.8,0.3,23,31.5,3.77,0,0.1,0.35850576,3
18.2,0.4,27,21.1,4.3,0,-0.2,0.002859922,1
16.4,0.5,29,13.6,6.6,0,-0.1,0,2
15,0.9,31.8,5.5,7.99,0,2.1,0,3
13.8,0.8,28.8,5.2,7.34,0,3,0,1
12.5,0.7,25.5,5.5,14.04,0,8.4,0,2
11.5,0.6,21.4,4.9,11.45,0,8.7,0,3
10.7,0.3,18.5,4.3,9.18,0,3.1,0,1
10,0.3,16.1,4.8,8.67,0,0.8,0,2
9.4,0.2,13.8,4.8,7.44,0,-0.1,0,3
8.9,0.1,11.5,4.7,6.55,0,-0.3,0,1
8.2,0.2,11.6,4.3,7.39,0,-0.2,0,2
7.8,0.3,11.3,4.5,8.21,0,0.2,0,3
7.6,0.7,11.9,4.9,9.62,0,2.2,0.023635462,1
8.6,1.2,15.9,5.4,13.51,0,4.7,0.308135729,2
10.8,0.5,17.2,14.5,10.16,0,4.9,1.416680781,3
12.9,0.2,13.9,26.8,7.43,0,0.5,4.733207446,1
16.4,0.2,16.9,36.3,7.46,0,-0.4,8.262170596,2
19.2,0.1,11.8,52.5,4.28,0,0.4,9.119546807,3
20.1,0.1,11.1,54.3,3.23,0,-1,6.866276799,1
21.2,0,7.9,52.6,2.54,0,-1,8.412220951,2
21.5,0,7.3,52,2.57,0,-1.2,5.737892729,3
21.6,0.1,9.4,51.2,2.91,0,-1.2,3.727702373,1
21.7,0,9.8,48.3,3.47,0,-1.2,1.545843824,2
20.9,0.1,14.2,40.5,3.55,0,-1.2,0.346813535,3
18.7,0.3,25.4,25.2,6.16,0,-1,0.003421073,1
16.8,0.6,32.9,14.3,12.59,0,0.3,0,2
15.5,0.6,33.1,8.8,10.8,0,0.3,0,3
13.9,0.7,31.4,5.9,12.28,0,1,0,1
12.8,0.8,29.4,4.9,11.58,0,1.8,0,2
11.8,0.5,24.7,5.1,9.18,0,3.5,0,3
10.8,0.4,22.6,4.7,9.79,0,5.4,0,1
10.1,0.4,20.9,4.7,11.04,0,4.8,0,2
9.5,0.2,18.6,5.1,10.16,0,4.5,0,3
9,0.2,15,5.1,9.2,0,0.6,0,1
8.5,0.1,12.8,5.6,6.49,0,-0.3,0,2
8.1,0.2,13.4,4.7,7.17,0,0.2,0,3
8.8,0.4,15.3,4.8,9.45,0,3.3,0.014615854,1
9.9,0.9,21.5,5.9,13.01,0,23.7,0.351229496,2
11.9,1,28.5,8.3,13.57,0,26.3,1.558767834,3
14.6,0.6,28.3,21.1,11.65,0,10.2,4.80905127,1
17.7,0.2,22.7,44,7.59,0,4.9,7.701143282,2
18.7,0.1,12.1,57.7,3.79,0,-0.7,5.460425345,3
19,0.1,16.5,52.4,4,0,-0.8,4.306884871,1
20.1,0,13.6,58.3,3.44,0,-1,5.424161517,2
20.6,0,7.4,54.2,3.45,0,-1.1,3.358937591,3
21.3,0,9,50,4.76,0,-1.3,3.522595178,1
20.8,0.1,14.4,42.6,5.74,0,-1,1.112702373,2
20.2,0.1,12.9,41.5,4.66,0,-1.2,0.202368582,3
18.1,0.3,24,25.7,5.6,0,-0.9,0.0038262,1
16.5,0.8,40.1,6.8,8.11,0,1.1,0,2
16.4,0.4,28.9,17.7,7.06,0,-0.5,0,3
15,0.4,25.1,18.6,6.07,0.4,-0.3,0,1
12.9,0.1,16.8,24.3,3.21,2,-0.9,0,2
12.4,0.1,14.3,23.9,3.03,1.2,-0.7,0,3
11.8,0.1,15.2,19,3.09,1.4,0.4,0,1
11.8,0.1,15.8,16.2,3.21,1.2,-1.1,0,2
11.6,0.1,13.4,16.8,3.25,1.6,-1.1,0,3
11.7,0.1,15.7,11.7,3.38,0.4,-1.4,0,1
11.6,0.1,16,12.4,4.55,0,-0.4,0,2
11.6,0.1,20.1,9.3,5.82,0.2,1,0,3
11.5,0.4,23,4.9,7.41,0,2.8,0.019234379,1
12.3,0.5,23.9,8.5,6.35,0,11,0.442247272,2
13.9,0.3,23.5,18.4,4.16,0,7,1.602225528,3
14.6,0.2,21,24.7,4.04,0,0.4,3.16844358,1
15.8,0.1,12.3,45.4,3.63,0.2,3.4,5.355991073,2
15.6,0.1,16.2,42.5,3.11,0.4,-0.4,2.830777829,3
16.4,0.1,11.1,47.1,3.12,0,-1.2,4.254982834,1
17.2,0.1,7.2,47.1,3.44,0,-1.6,4.310637446,2
16.4,0.1,10.9,43.1,3.12,0,-1.2,4.587823682,3
15.8,0.1,11.6,38.5,4.04,0.2,-0.8,1.508132296,1
14.8,0.1,13.3,33.1,2.35,0,-0.8,0.723712902,2
14.8,0.3,25.2,17.7,4.49,0,1.2,0.179215305,3
14.9,0.4,28.5,18.2,4.88,0,0.5,0.002056535,1
14.7,0.3,29.1,15.9,5.18,0,0.4,0,2
14.3,0.6,35.5,7,6.04,0,-0.1,0,3
14.1,0.5,32.8,9.3,4.76,0,-0.5,0,1
13.6,0.6,29.5,7.4,3.95,0,-0.8,0,2
13.1,0.5,26.8,5,3.96,0,-0.1,0,3
13.1,0.4,26,7.2,3.43,0,1,0,1
12.5,0.4,25.9,5.4,3.13,0,-0.3,0,2
12.5,0.4,25.2,4.5,3.62,0,-0.4,0,3
12.4,0.2,20.4,9,3.16,0,-0.9,0,1
12.3,0.1,18.9,8.7,4.2,0,-0.7,0,2
12.3,0.1,17.4,10.5,3.62,0,-0.7,0,3
12.6,0.2,23.1,5.1,4.7,0,-0.4,0.012121386,1
13.1,0.2,22.1,12.8,5.16,0,2.3,0.351211185,2
13.9,0.1,14.6,28.9,4.26,0,4,1.3645449,3
15.1,0,5.6,44.1,2.54,0,-1,2.847279316,1
14.3,0.1,12.2,35.4,2.23,0.2,-1.5,2.688162814,2
16.7,0,6,45.2,2.14,0,-1.5,5.644739834,3
18.4,0,4.7,47.5,2.3,0,-1.4,6.476919966,1
18.4,0,5.2,45.1,2.3,0,-1.5,5.209589151,2
19,0,2.6,43.3,1.45,0,-1.3,5.629277485,3
19.8,0,3.3,43.7,1.32,0,-1.5,4.097696269,1
19.4,-0.1,2.7,42.8,1.42,0,-1.8,1.532516594,2
17.7,0,11.6,36.1,2.2,0,-1.7,0.325168231,3
16.1,0.2,26.1,19.5,3.91,0,-1.2,0.004181353,1
14.8,0.4,33.5,8.8,5.7,0,-0.7,0,2
14.1,0.5,30.5,7.5,5.58,0,-0.8,0,3
13.7,0.4,26.4,9.7,4.94,0,-0.9,0,1
12.4,0.2,21,10.5,3.47,0,-1.5,0,2
12,0.3,19.1,9.9,3.93,0,-0.9,0,3
11.4,0.2,19.1,6.9,3.7,0,-0.3,0,1
10.2,0.1,14.5,8.1,3.94,0,-1,0,2
9.5,0.1,15.8,5.4,4.57,0,-0.9,0,3
8.9,0.1,13.2,5.3,4.96,0,-1.2,0,1
8.9,0.1,11.8,4.7,4.93,0,-1.3,0,2
9.8,0.1,13.5,4.6,4.96,0,-1.2,0,3
10.2,0.2,15.1,4.8,4.99,0,-0.3,0.013455787,1
11.9,0.4,18,9.6,5.15,0,2.9,0.506229496,2
14.4,0.5,28.4,17.9,5.73,0,14.1,2.0850206,3
16,0.3,24.2,28.7,5.57,0,8.6,5.236321431,1
17.5,0,9.7,40.8,3.13,0,-0.6,8.292672236,2
18.1,0,7.4,44,2.71,0,-0.2,8.768681621,3
19.3,0,9.1,46.3,2.4,0,-1.4,10.38148623,1
19.9,0,7.6,52.2,1.96,0,-1.7,10.83171626,2
19.7,0,8.1,53.6,1.84,0,-1.6,7.72188716,3
19.4,0,9.5,53.4,1.98,0,-1.6,4.517362478,1
18.8,0,12.3,50.7,2.63,0,-1.5,1.719683757,2
17.2,0.1,17.9,41.4,2.94,0,-1.3,0.346126497,3
15.6,0.2,28.8,28.5,3.46,0,-1.4,0.00436141,1
14.6,0.6,44.7,9.5,6.57,0,-0.4,0,2
14,0.3,34.2,15.7,6.57,0,-0.8,0,3
13.5,0.2,28,20.1,4.44,0,-0.9,0,1
13.1,0.1,17.5,33.8,5,0,-1.5,0,2
12.9,0,16.1,35.3,3.62,0,-1.5,0,3
12.7,-0.1,6.7,42.9,3.36,0,-1.4,0,1
12.3,-0.1,4.7,41,3.54,0,-1.7,0,2
12,-0.1,10.1,28,3.32,0,-1.7,0,3
11.6,-0.1,13.3,18.8,3.19,0,-1.9,0,1
